Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,NEW_SMILES
CHEMBL248049,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3)cs2)CC1,IC50,'=',15135.61,nM,4.82,CC1CCC(=NN=c2[nH]c(-c3ccc(Cl)cc3)cs2)CC1
CHEMBL589765,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,IC50,'=',546,nM,6.26,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,'=',4900,nM,5.31,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL1242964,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,IC50,'=',5011.87,nM,5.3,CC1CCCCC1=NN=c1[nH]c(-c2ccc(F)cc2)cs1
CHEMBL1253680,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,IC50,'=',2290.87,nM,5.64,Fc1ccc(-c2csc(=NN=C3CCCC3)[nH]2)c(F)c1
CHEMBL1254935,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3Cl)cs2)CC1,IC50,'=',81283.05,nM,4.09,CC1CCC(=NN=c2[nH]c(-c3ccc(Cl)cc3Cl)cs2)CC1
CHEMBL220495,c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,IC50,'=',48351,nM,4.32,c1ccc(-c2csc(=NN=C3CCCCC3)[nH]2)cc1
CHEMBL1257692,COc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,IC50,'=',63,nM,7.2,COc1ccc(C=NN=c2[nH]c3ccccc3nc2Cc2ccccc2)cc1
CHEMBL487050,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCC3,IC50,'=',121,nM,6.92,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCC3
CHEMBL1243245,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3)cs2)C1,IC50,'=',40320,nM,4.39,CC1CCCC(=NN=c2[nH]c(-c3ccc(F)cc3)cs2)C1
CHEMBL1243088,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,IC50,'=',38840,nM,4.41,CC1CCCC(=NN=c2[nH]c(-c3ccc(F)cc3F)cs2)C1
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,IC50,'=',361380,nM,3.44,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
CHEMBL1242991,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,IC50,'=',6830,nM,5.17,CC1CCCCC1=NN=c1[nH]c(-c2ccc(F)cc2F)cs1
CHEMBL399353,COc1ccc(-c2csc(N/N=C3\CCCCC3C)n2)cc1,IC50,'=',2760,nM,5.56,COc1ccc(-c2csc(=NN=C3CCCCC3C)[nH]2)cc1
CHEMBL1243371,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,'=',42310,nM,4.37,CC1CCCCC1=NN=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243399,CC1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,'=',31030,nM,4.51,CC1CCCCC1=NN=c1[nH]c(-c2ccc(C#N)cc2)cs1
CHEMBL63223,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,IC50,'=',8.6,nM,8.07,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl
CHEMBL2179398,c1ccc(-c2ncc3cc(-n4ccnc4)ccc3n2)cc1,IC50,'=',220,nM,6.66,c1ccc(-c2ncc3cc(-n4ccnc4)ccc3n2)cc1
CHEMBL1651054,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2,IC50,'=',14,nM,7.85,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,IC50,'=',6560,nM,5.18,CC(C)NNC(=O)c1ccncc1
CHEMBL2430704,O=C1CCc2cc(OCCc3ccccc3)ccc2N1,IC50,'=',22500,nM,4.65,O=C1CCc2cc(OCCc3ccccc3)ccc2N1
CHEMBL3735913,Cc1ccc2oc(=O)c(-c3cccc(OCCBr)c3)cc2c1,IC50,'=',20750,nM,4.68,Cc1ccc2oc(=O)c(-c3cccc(OCCBr)c3)cc2c1
CHEMBL3734880,Cc1ccc2oc(=O)c(-c3cccc(OCCCCBr)c3)cc2c1,IC50,'=',40580,nM,4.39,Cc1ccc2oc(=O)c(-c3cccc(OCCCCBr)c3)cc2c1
CHEMBL3735661,Cc1ccc2oc(=O)c(-c3cccc4ccccc34)cc2c1,IC50,'=',55470,nM,4.26,Cc1ccc2oc(=O)c(-c3cccc4ccccc34)cc2c1
CHEMBL1830831,O=C(NNc1ccccc1[N+](=O)[O-])c1cc2ccccc2oc1=O,IC50,'=',39560,nM,4.4,O=C(NNc1ccccc1[N+](=O)[O-])c1cc2ccccc2oc1=O
CHEMBL1830796,CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O,IC50,'=',55160,nM,4.26,CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O
CHEMBL1835225,Cc1ccc(-c2cc3cc(O)ccc3oc2=O)cc1,IC50,'=',24900,nM,4.6,Cc1ccc(-c2cc3cc(O)ccc3oc2=O)cc1
CHEMBL1835327,Cc1ccc2oc(=O)c(-c3ccccc3O)cc2c1,IC50,'=',21580,nM,4.67,Cc1ccc2oc(=O)c(-c3ccccc3O)cc2c1
CHEMBL122697,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,'=',501.19,nM,6.3,CCOC(=O)c1cc2cc(Cl)ccc2cc1O
CHEMBL1806758,Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',69335,nM,4.16,Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O
CHEMBL3263556,O=C1/C(=C/c2ccc(N3CCCCC3)cc2)Oc2cc(O)cc(O)c21,IC50,'=',271,nM,6.57,O=C1C(=Cc2ccc(N3CCCCC3)cc2)Oc2cc(O)cc(O)c21
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,'=',1420,nM,5.85,C#CCNC1CCc2ccccc21
CHEMBL1243212,CC1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3)cs2)C1,IC50,'=',23120,nM,4.64,CC1CCCC(=NN=c2[nH]c(-c3ccc(Cl)cc3)cs2)C1
CHEMBL3288304,O=C1CCCc2cc(OCCc3ccccc3)ccc21,IC50,'=',1320,nM,5.88,O=C1CCCc2cc(OCCc3ccccc3)ccc21
CHEMBL1823807,O=C1NC(=O)/C(=C\c2cccc(Br)c2)S1,IC50,'=',67310,nM,4.17,O=C1NC(=O)C(=Cc2cccc(Br)c2)S1
CHEMBL187159,COc1cccc2oc3c(O)cccc3c(=O)c12,IC50,'=',51000,nM,4.29,COc1cccc2oc3c(O)cccc3c(=O)c12
CHEMBL186576,COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,IC50,'=',51000,nM,4.29,COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O
CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,IC50,'=',4000,nM,5.4,NC1CC1c1ccccc1
CHEMBL3415797,C#CCN(C)CC(=C)c1cccc(F)c1.O=C(O)C(=O)O,IC50,'=',7.6,nM,8.12,C#CCN(C)CC(=C)c1cccc(F)c1
CHEMBL2420787,Cc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)o1,IC50,'=',31800,nM,4.5,Cc1ccc(C(=O)C=Cc2ccc(C(F)(F)F)cc2)o1
CHEMBL185776,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,IC50,'=',660,nM,6.18,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1
CHEMBL435101,COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1,IC50,'=',24000,nM,4.62,COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1
CHEMBL187801,COc1cccc2c(=O)c3ccccc3oc12,IC50,'=',30000,nM,4.52,COc1cccc2c(=O)c3ccccc3oc12
CHEMBL362107,Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12,IC50,'=',4300,nM,5.37,Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12
CHEMBL441121,Cc1c(O)cc2oc3ccccc3c(=O)c2c1O,IC50,'=',3700,nM,5.43,Cc1c(O)cc2oc3ccccc3c(=O)c2c1O
CHEMBL1257815,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,IC50,'=',680,nM,6.17,CC(=NN=c1[nH]c2ccccc2nc1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1
CHEMBL3330341,Cl.N[C@@]1(c2ccccc2)C[C@@H]1c1ccccc1,IC50,'=',94,nM,7.03,NC1(c2ccccc2)CC1c1ccccc1
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,'=',2760,nM,5.56,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
CHEMBL2238457,CC(C)(C)OC(=O)NCCCCCCNCC(N)=O,IC50,'=',5700,nM,5.24,CC(C)(C)OC(=O)NCCCCCCNCC(N)=O
CHEMBL3121793,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,IC50,'=',77.2,nM,7.11,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O
CHEMBL3133307,COc1cc(/C=C/c2ccc(OCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,IC50,'=',97380,nM,4.01,COc1cc(C=Cc2ccc(OCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1
CHEMBL463249,CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,IC50,'=',447,nM,6.35,CN1C(=N)N(C)C(=Cc2c[nH]c3cc(Br)ccc23)C1=O
CHEMBL3127967,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,'=',5.495,nM,8.26,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
CHEMBL3127968,C=CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,'=',979.49,nM,6.01,C=CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
CHEMBL3134366,COc1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1,IC50,'=',14500,nM,4.84,COc1cccc(-c2csc(=NS(=O)(=O)c3cccc(Cl)c3)[nH]2)c1
CHEMBL3134356,O=S(=O)(Nc1nc(-c2ccccc2)cs1)c1cccc(Cl)c1,IC50,'=',67300,nM,4.17,O=S(=O)(N=c1[nH]c(-c2ccccc2)cs1)c1cccc(Cl)c1
CHEMBL3417297,CCOc1cc(=O)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,IC50,'=',78590,nM,4.11,CCOc1cc(=O)oc2cc(OCCN3CCN(CCCN=c4c5c([nH]c6ccccc46)CCCC5)CC3)ccc12
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,IC50,'=',58980,nM,4.23,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
CHEMBL1253604,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1,IC50,'=',31040,nM,4.51,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1
CHEMBL3407584,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,IC50,'=',19200,nM,4.72,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1
CHEMBL3417309,O=c1ccc2ccc(OCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2o1,IC50,'=',9180,nM,5.04,O=c1ccc2ccc(OCCCCCN3CCN(CCN=c4c5c([nH]c6ccccc46)CCCC5)CC3)cc2o1
CHEMBL3986142,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccc(F)cc3)ccc21,IC50,'=',4310,nM,5.37,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccc(F)cc3)ccc21
CHEMBL3928890,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)Cc2cc(O)ccc21,IC50,'=',235,nM,6.63,O=C1C(=Cc2ccc(Cl)c(Cl)c2)Cc2cc(O)ccc21
CHEMBL3932083,CN(Cc1cccc(F)c1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,IC50,'=',22750,nM,4.64,CN(Cc1cccc(F)c1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
CHEMBL3971638,N#Cc1cccc(/C=C2\Cc3cc(O)ccc3C2=O)c1,IC50,'=',444,nM,6.35,N#Cc1cccc(C=C2Cc3cc(O)ccc3C2=O)c1
CHEMBL28855,CN(C)c1ccc(/C=C2\Cc3ccccc3C2=O)cc1,IC50,'=',1520,nM,5.82,CN(C)c1ccc(C=C2Cc3ccccc3C2=O)cc1
CHEMBL3261212,CC(C)(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,IC50,'=',31450,nM,4.5,CC(C)(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O
CHEMBL2088310,Cn1c(=O)c2c(nc(CSc3cccc(Cl)c3)n2C)n(C)c1=O,IC50,'=',19400,nM,4.71,Cn1c(=O)c2c(nc(CSc3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL2088311,Cn1c(=O)c2c(nc(CSc3cccc(Br)c3)n2C)n(C)c1=O,IC50,'=',23800,nM,4.62,Cn1c(=O)c2c(nc(CSc3cccc(Br)c3)n2C)n(C)c1=O
CHEMBL2088302,Cn1c(=O)c2c(nc(COc3cccc(F)c3)n2C)n(C)c1=O,IC50,'=',13200,nM,4.88,Cn1c(=O)c2c(nc(COc3cccc(F)c3)n2C)n(C)c1=O
