Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
CHEMBL248049,,None,319.86,1,5.44,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3)cs2)CC1,IC50,'=',15135.61,nM,4.82
CHEMBL589765,,None,314.35,0,0.86,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,IC50,'=',546,nM,6.26
CHEMBL151,LUTEOLIN,2,286.24,0,2.28,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,'=',4900,nM,5.31
CHEMBL1221930,,None,315.17,0,4.53,Cc1cc(Br)c2oc(=O)c(-c3ccccc3)cc2c1,IC50,,,,
CHEMBL1242964,,None,303.41,0,4.93,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,IC50,'=',5011.87,nM,5.3
CHEMBL1253680,,None,293.34,0,4.43,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,IC50,'=',2290.87,nM,5.64
CHEMBL1254935,,None,354.31,1,6.09,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3Cl)cs2)CC1,IC50,'=',81283.05,nM,4.09
CHEMBL489717,,None,414.5,1,6.21,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)c(O)c1,IC50,,,,
CHEMBL489718,,None,342.82,1,5.29,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,IC50,,,,
CHEMBL241861,,None,258.7,0,3.94,O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1O,IC50,,,,
CHEMBL453410,,None,281.27,0,2.75,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O,IC50,,,,
CHEMBL220495,,None,271.39,0,4.54,c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,IC50,'=',48351,nM,4.32
CHEMBL1257692,,None,368.44,0,4.68,COc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,IC50,'=',63,nM,7.2
CHEMBL487050,,None,288.3,0,2.26,COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCC3,IC50,'=',121,nM,6.92
CHEMBL1243245,,None,303.41,0,4.93,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3)cs2)C1,IC50,'=',40320,nM,4.39
CHEMBL1243088,,None,321.4,1,5.07,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,IC50,'=',38840,nM,4.41
CHEMBL1243089,,None,321.4,1,5.07,C[C@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,IC50,'=',10090,nM,5
CHEMBL86304,MOCLOBEMIDE,4,268.74,0,1.4,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,IC50,'=',361380,nM,3.44
CHEMBL1242964,,None,303.41,0,4.93,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,IC50,'=',4940,nM,5.31
CHEMBL1242991,,None,321.4,1,5.07,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,IC50,'=',6830,nM,5.17
CHEMBL399353,,None,315.44,0,4.8,COc1ccc(-c2csc(N/N=C3\CCCCC3C)n2)cc1,IC50,'=',2760,nM,5.56
CHEMBL1243371,,None,330.41,0,4.7,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,'=',42310,nM,4.37
CHEMBL1243399,,None,310.43,0,4.66,CC1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,'=',31030,nM,4.51
CHEMBL63223,,None,314.77,0,3.74,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,IC50,'=',8.6,nM,8.07
CHEMBL1069,VALSARTAN,4,435.53,0,4.16,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,IC50,,,,
CHEMBL24944,TRIBROMSALAN,4,449.92,0,4.93,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,IC50,,,,
CHEMBL1159650,CLOBETASOL PROPIONATE,4,466.98,0,4.1,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,IC50,,,,
CHEMBL1909056,COBALT(II) ACETYLACETONATE,None,257.15,None,None,,IC50,,,,
CHEMBL2179398,,None,272.31,0,3.48,c1ccc(-c2ncc3cc(-n4ccnc4)ccc3n2)cc1,IC50,'=',220,nM,6.66
CHEMBL137,METRONIDAZOLE,4,171.16,0,0.09,Cc1ncc([N+](=O)[O-])n1CCO,IC50,,,,
CHEMBL1651054,,None,263.3,0,2.63,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2,IC50,'=',14,nM,7.85
CHEMBL92401,IPRONIAZID,4,179.22,0,0.72,CC(C)NNC(=O)c1ccncc1,IC50,'=',6560,nM,5.18
CHEMBL2430704,,None,267.33,0,3.19,O=C1CCc2cc(OCCc3ccccc3)ccc2N1,IC50,'=',22500,nM,4.65
CHEMBL3735913,,None,359.22,0,4.54,Cc1ccc2oc(=O)c(-c3cccc(OCCBr)c3)cc2c1,IC50,'=',20750,nM,4.68
CHEMBL3734880,,None,387.27,1,5.32,Cc1ccc2oc(=O)c(-c3cccc(OCCCCBr)c3)cc2c1,IC50,'=',40580,nM,4.39
CHEMBL3735661,,None,286.33,0,4.92,Cc1ccc2oc(=O)c(-c3cccc4ccccc34)cc2c1,IC50,'=',55470,nM,4.26
CHEMBL1830831,,None,325.28,0,2.46,O=C(NNc1ccccc1[N+](=O)[O-])c1cc2ccccc2oc1=O,IC50,'=',39560,nM,4.4
CHEMBL1830796,,None,301.52,0,3.41,CC(=O)c1cc2cc(Cl)cc(Br)c2oc1=O,IC50,'=',55160,nM,4.26
CHEMBL1835225,,None,252.27,0,3.47,Cc1ccc(-c2cc3cc(O)ccc3oc2=O)cc1,IC50,'=',24900,nM,4.6
CHEMBL1835327,,None,252.27,0,3.47,Cc1ccc2oc(=O)c(-c3ccccc3O)cc2c1,IC50,'=',21580,nM,4.67
CHEMBL92401,IPRONIAZID,4,179.22,0,0.72,CC(C)NNC(=O)c1ccncc1,IC50,'=',6560,nM,5.18
CHEMBL122697,,None,250.68,0,2.41,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,'=',501.19,nM,6.3
CHEMBL1806758,,None,328.37,0,0.98,Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',69335,nM,4.16
CHEMBL3263556,,None,337.38,0,3.7,O=C1/C(=C/c2ccc(N3CCCCC3)cc2)Oc2cc(O)cc(O)c21,IC50,'=',271,nM,6.57
CHEMBL3585854,,None,326.42,0,3.64,C#CCN(C)[C@H](C)Cc1ccc(NCc2cc(F)ccc2O)cc1,IC50,,,,
CHEMBL3918754,,None,414.57,0,3.21,C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,IC50,'>',100000,nM,
CHEMBL887,RASAGILINE,4,171.24,0,1.9,C#CCN[C@@H]1CCc2ccccc21,IC50,'=',1420,nM,5.85
CHEMBL1243212,,None,319.86,1,5.44,CC1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3)cs2)C1,IC50,'=',23120,nM,4.64
CHEMBL3288304,,None,266.34,0,3.83,O=C1CCCc2cc(OCCc3ccccc3)ccc21,IC50,'=',1320,nM,5.88
CHEMBL1823807,,None,284.13,0,2.77,O=C1NC(=O)/C(=C\c2cccc(Br)c2)S1,IC50,'=',67310,nM,4.17
CHEMBL187159,,None,242.23,0,2.66,COc1cccc2oc3c(O)cccc3c(=O)c12,IC50,'=',51000,nM,4.29
CHEMBL186576,,None,288.25,0,2.37,COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,IC50,'=',51000,nM,4.29
